Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
10,Australia,862,Alfalfa meal and pellets,5610,Import Quantity,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,660,0,10,0,4,3,4,2,150,4,16,12,8,12,15,11,12,9,0,1,13,59,109,657,1003,1
10,Australia,862,Alfalfa meal and pellets,5622,Import Value,1000 US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,4,992,0,19,0,5,2,4,1,122,2,23,14,20,23,31,19,34,25,0,4,18,55,149,363,497,9
10,Australia,862,Alfalfa meal and pellets,5910,Export Quantity,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73184,127018,87473,67824,71617,107836,104574,84043,142550,124774,141027,134900,132425,124816,109150,96908,49943,29904,38769,87627,120307,112278,118193,85992,77026,73652,97312,84691,81045,72941,52186,50680,40056
10,Australia,862,Alfalfa meal and pellets,5922,Export Value,1000 US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9439,20421,13436,11729,11994,16013,16599,12801,26605,24530,21579,19684,17654,15763,16809,15833,11250,6262,7482,21814,33177,26322,32257,25292,24082,23972,38488,27409,26811,20611,16656,16107,12946
10,Australia,231,Almonds shelled,5610,Import Quantity,tonnes,0,0,0,0,0,743,514,606,499,503,563,776,939,707,777,960,1270,1196,938,1016,993,1394,1084,2042,2788,2189,1188,1031,1328,2449,2021,2065,1933,1773,1450,1917,2100,910,1328,551,706,1796,3091,1646,1885,1853,1619,1469,866,1106,1164,2309,2515,2056,1904,2314,3061,3657,2784,2436
10,Australia,231,Almonds shelled,5622,Import Value,1000 US$,0,0,0,0,0,1314,905,1086,907,908,1000,1418,2059,2662,2197,2240,2771,3180,3659,4496,4464,4033,3253,7480,8495,5478,4738,3702,4342,8744,6098,7249,7086,7810,6093,10222,9978,4298,4378,1516,1765,4712,10003,7021,12220,12426,8882,6436,3621,4403,6050,14342,17270,17502,17631,19672,21657,24787,19058,17785
10,Australia,231,Almonds shelled,5910,Export Quantity,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,65,59,38,50,39,214,187,2100,1060,0,753,1694,1648,1200,1061,1366,4325,4067,7625,8732,13854,16420,16371,20339,32293,39535,44798,41138,35186,33158,42751,52030
10,Australia,231,Almonds shelled,5922,Export Value,1000 US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,316,172,246,202,266,1159,1004,11563,4015,0,2475,4280,3881,3634,4122,6643,29449,24618,38397,39902,54341,87217,75865,96190,222123,290320,401176,243326,198251,209363,290704,263405
10,Australia,221,"Almonds, with shell",5610,Import Quantity,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,65,61,91,157,46,17,109,106,74,0,0,12,65,0,42,5,50,35,20,10,0,11,0,19,32,0,17,24,2,66,17,49,113,26,174,87,2,36,52,101,505,129
10,Australia,221,"Almonds, with shell",5622,Import Value,1000 US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,201,254,156,355,128,67,235,245,290,0,0,18,103,0,99,12,114,130,29,18,2,18,1,59,82,2,107,100,7,400,90,247,466,161,836,441,4,99,129,487,2557,622
