DATE,POPTOTAUA647NWDB
1960-01-01,10276477
1961-01-01,10483000
1962-01-01,10742000
1963-01-01,10950000
1964-01-01,11167000
1965-01-01,11388000
1966-01-01,11651000
1967-01-01,11799000
1968-01-01,12009000
1969-01-01,12263000
1970-01-01,12507000
1971-01-01,12937000
1972-01-01,13177000
1973-01-01,13380000
1974-01-01,13723000
1975-01-01,13893000
1976-01-01,14033000
1977-01-01,14192000
1978-01-01,14358000
1979-01-01,14514000
1980-01-01,14692000
1981-01-01,14927000
1982-01-01,15178000
1983-01-01,15369000
1984-01-01,15544000
1985-01-01,15758000
1986-01-01,16018400
1987-01-01,16263900
1988-01-01,16532200
1989-01-01,16814400
1990-01-01,17065100
1991-01-01,17284000
1992-01-01,17495000
1993-01-01,17667000
1994-01-01,17855000
1995-01-01,18072000
1996-01-01,18311000
1997-01-01,18517000
1998-01-01,18711000
1999-01-01,18926000
2000-01-01,19153000
2001-01-01,19413000
2002-01-01,19651400
2003-01-01,19895400
2004-01-01,20127400
2005-01-01,20394800
2006-01-01,20697900
2007-01-01,20827600
2008-01-01,21249200
2009-01-01,21691700
2010-01-01,22031750
2011-01-01,22340024
2012-01-01,22733465.0
2013-01-01,23128129.0
2014-01-01,23475686.0
2015-01-01,23815995.0
2016-01-01,24190907.0
2017-01-01,24601860.0
2018-01-01,24982688.0
2019-01-01,25365745.0
2020-01-01,25687041
