created_at,id,full_text,lang,user,User Location
Wed May 18 22:31:06 +0000 2022,1527054196939186176,@21mbitcoins @MaxSheen2 @mask_bastard who said anything about water usage? i said total cost. cost of production is always passed on to the end customer. vegan options cost more because they cost more to produce.,en,Darkdogzstudioz,Australia
Wed May 18 20:26:43 +0000 2022,1527022896266170369,This Startup Will Soon Produce 45 Million Pounds of Vegan Mushroom Steak Every Year https://t.co/ERRbfiB6Kr via @VegNews,en,KimlaiYingling,Los Angeles
Wed May 18 19:30:31 +0000 2022,1527008753203421184,"@legendisarmani Yes. Providing your own milk to a child is vegan. 
Using formula if you can't produce enough breastmilk is also vegan.",en,ImAussieMate,"Sydney, New South Wales"
Wed May 18 19:15:00 +0000 2022,1527004846699716609,"Hampers and picnic boxes are now available to pre-order! Take a pit stop by the hillclimb and enjoy lunch, packed with fresh produce from the Goodwood estate and a variety of sweet treats. 

Vegetarian, vegan and gluten free options available.

BOOK NOW: https://t.co/cllCm6jU8x https://t.co/USV4kfbQ6k",en,fosgoodwood,Goodwood Estate UK
Wed May 18 17:50:29 +0000 2022,1526983578264817664,"✊❤️
This Startup Will Soon Produce 45 Million Pounds of Vegan Mushroom Steak Every Year https://t.co/cjKyPIA1Hg via @VegNews",en,MichelleSetaro,
Wed May 18 17:48:39 +0000 2022,1526983115318743040,"@LeArielleSimone I feel like Trader Joe’s has better priced produce &amp; cute niche &amp; seasonal foods but WF has more of my staples, vegan/organic stuff but the tax you have to pay for quality food at WF 😫😩",en,avydseeker,🧘🏾‍♀️ right here ✨
Wed May 18 15:36:01 +0000 2022,1526949737424949251,"@batashoes I have a new and modern slipper design, besides being easy to wear, it looks much more closed and beautiful than other slippers. my conditions are to produce the product vegan and make money from the patent",en,Eneskayacik2,
Wed May 18 15:35:02 +0000 2022,1526949488849469442,This Startup Will Soon Produce 45 Million Pounds of Vegan Mushroom Steak Every Year | VegNews https://t.co/8hEzDSBrEm,en,veganfuture,
Wed May 18 15:09:04 +0000 2022,1526942954996256774,@NYCMayor I know your busy but I would love to discuss the lack of fresh foods in urban NYC areas. I know your vegan and I would love to start a program in the city to produce better nutrition systems for low income NYC residents.,en,KnoXerox,NY babes
Wed May 18 14:50:21 +0000 2022,1526938245543522305,@ZuzuQueenOfMars I do a rescued produce distribution every month in my community. People don’t know how to cook veggies they only eat at restaurants. I started giving simple vegan recipes to them. Suddenly eggplant &amp; zucchini are popular. Combat ignorance with knowledge.,en,TeachSpEd2,United States
Wed May 18 13:38:09 +0000 2022,1526920076338814976,"George Monbiot: ‘On a vegan planet, Britain could feed 200 million people’
The author, Guardian columnist and environmental campaigner discusses how we can produce food more sustainably https://t.co/47KX2ojxi2",en,JodiQui83422764,
Wed May 18 13:18:56 +0000 2022,1526915238469197830,"Eggs, pork, chicken, baked goods, produce, plants, cut flowers, honey, maple syrup, popcorn, soaps, vegan cheese spreads, roasted coffee beans, health juice, donuts, egg rolls, veggie starts &amp; so much more today at OFM! Match your SNAP w/ Fresh Bucks for add. cash for produce. https://t.co/ZK4opKWmN0",en,IndyCM,"222 E Market St, Indianapolis"
Wed May 18 13:17:28 +0000 2022,1526914870574080003,"We’ve gotcha covered for the weekend! Produce galore, fruit, meats, coffees, cheeses, baked goods. Lots of vegan options and vegetable plants available! See ya soon! We are open year round on Saturday’s from 9-2! https://t.co/bzaCn5MPAY",en,ThePublicMarket,Oklahoma City
Wed May 18 12:57:54 +0000 2022,1526909947954487298,This Startup Will Soon Produce 45 Million Pounds of Vegan Mushroom Steak Every Year https://t.co/8ACCqQD4IU via @VegNews,en,ilovespring1111,
Wed May 18 11:34:44 +0000 2022,1526889018436341761,"@lenalaments Did you seriously pay $300 for $6 worth of produce at a ""hot"" vegan restaurant that has a ""secret"" meat menu? 
Bahahahahahahahahahahaha! 
""A fool and their money...""",en,addison_ann,"North Carolina, USA"
Wed May 18 11:25:50 +0000 2022,1526886778413670400,"@rickygervais question for you ricky , if everyone in the world turn vegan what would happen to the world , better or worst ? my answer is every farm animal would have to be killed and trillions of insects killed to produce plants including bees then the world would slowly die",en,BCasper01981493,
Wed May 18 07:01:56 +0000 2022,1526820365330448386,"In the chicken industry, male chicks are discarded and killed soon after hatching lay eggs and are not bred to produce the excessive flesh desired by the meat industry.

On this #InternationalRespectforChickensMonth, go vegan and live vegan for their sake. https://t.co/NR64UhvurT",en,PETAAsia,
Wed May 18 03:37:40 +0000 2022,1526768959592271873,"@ifarmcarnists If the industry is dying why do all keep crying so hard about it. 
Also as a vegan how much food do you produce annually for others?",en,Wdairy3,"Algoma, WI"
Wed May 18 03:35:34 +0000 2022,1526768429726072832,"@vegan_logic And they get sent to the slaughterhouse as an end product of being forced to produce so much milk. There’s facts 3, 4 and 5",en,VeggieEthics24,
Wed May 18 03:05:43 +0000 2022,1526760918658342912,This Startup Will Soon Produce 45 Million Pounds of Vegan Mushroom Steak Every Year https://t.co/eAA2xxNTux via @VegNews,en,Noblelovegrace,Vancouver Canada
Wed May 18 03:02:37 +0000 2022,1526760137893060608,@Noahpinion Burning liberals is healthy for the environment. I mean they bare organic due to their vegan diet. Produce clean fuel from their healthy fats. Why not try?,en,MarqkV,
Wed May 18 01:41:06 +0000 2022,1526739622822350848,@un8vailable @Trisha_Is_Vegan Can you expand on the only produce one type of human part?,en,iiamyq,"Kansas, USA"
Wed May 18 01:12:13 +0000 2022,1526732356622630914,"@gingerspice_420 And grow what? Produce can't be grown without a lot more infrastructure. 
Nutrition density in animal products have not been replicated in vegan options. Not by a long shot.",en,FarmChicJodi,N. Michigan
Wed May 18 00:30:15 +0000 2022,1526721793859457025,"On top of this, plants produce defensive chemicals to fend off predators.

99% of the pesticides in the human diet aren't added to foods...they're produced endogenously by plants.

A vegan diet is begging for nutrient deficiencies, gut irritation and lower energy production., https://t.co/AWVwSzf5mg",en,AlpacaAurelius,Buy beef liver crisps
